weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
267,"{'top_left': 78, 'top_right': 91, 'bottom_left': 46, 'bottom_right': 52}","{'top_left': 0.18571428571428572, 'top_right': 0.21666666666666667, 'bottom_left': 0.10952380952380952, 'bottom_right': 0.12380952380952381}","(15.902621722846442, 23.94007490636704)","(0.5300873907615481, 0.4352740892066735)","(77.41962995693585, 57.56355117900378)","(0.024687382001573933, 0.05989963702289675)"
158,"{'top_left': 47, 'top_right': 42, 'bottom_left': 46, 'bottom_right': 23}","{'top_left': 0.11190476190476191, 'top_right': 0.1, 'bottom_left': 0.10952380952380952, 'bottom_right': 0.05476190476190476}","(13.246835443037975, 26.310126582278482)","(0.44156118143459916, 0.47836593785960874)","(47.264580996635154, 41.36312289697164)","(0.01507161383821274, 0.04304175119351888)"
136,"{'top_left': 51, 'top_right': 8, 'bottom_left': 39, 'bottom_right': 38}","{'top_left': 0.12142857142857143, 'top_right': 0.01904761904761905, 'bottom_left': 0.09285714285714286, 'bottom_right': 0.09047619047619047}","(12.963235294117647, 28.875)","(0.43210784313725487, 0.525)","(60.903492647058826, 49.18247188581314)","(0.019420756583883553, 0.051178430682427827)"
143,"{'top_left': 51, 'top_right': 15, 'bottom_left': 39, 'bottom_right': 38}","{'top_left': 0.12142857142857143, 'top_right': 0.03571428571428571, 'bottom_left': 0.09285714285714286, 'bottom_right': 0.09047619047619047}","(13.615384615384615, 28.74125874125874)","(0.45384615384615384, 0.5225683407501589)","(59.56242359039562, 55.17374932759549)","(0.01899311976734554, 0.05741285049697761)"
222,"{'top_left': 25, 'top_right': 56, 'bottom_left': 42, 'bottom_right': 99}","{'top_left': 0.05952380952380952, 'top_right': 0.13333333333333333, 'bottom_left': 0.1, 'bottom_right': 0.2357142857142857}","(17.774774774774773, 30.806306306306308)","(0.5924924924924925, 0.5601146601146602)","(46.84987014041069, 49.24657089521954)","(0.014939371855998305, 0.05124513100439078)"
153,"{'top_left': 18, 'top_right': 38, 'bottom_left': 49, 'bottom_right': 48}","{'top_left': 0.04285714285714286, 'top_right': 0.09047619047619047, 'bottom_left': 0.11666666666666667, 'bottom_right': 0.11428571428571428}","(15.444444444444445, 31.392156862745097)","(0.5148148148148148, 0.5707664884135472)","(54.94425221068819, 17.789397240377635)","(0.017520488587591896, 0.0185113394801016)"
263,"{'top_left': 43, 'top_right': 74, 'bottom_left': 25, 'bottom_right': 121}","{'top_left': 0.08958333333333333, 'top_right': 0.15416666666666667, 'bottom_left': 0.052083333333333336, 'bottom_right': 0.2520833333333333}","(18.346007604562736, 34.40304182509506)","(0.6115335868187579, 0.5375475285171103)","(111.41170177391606, 44.40119128511327)","(0.026369633555956465, 0.04620311267961839)"
171,"{'top_left': 63, 'top_right': 22, 'bottom_left': 65, 'bottom_right': 21}","{'top_left': 0.10714285714285714, 'top_right': 0.03741496598639456, 'bottom_left': 0.11054421768707483, 'bottom_right': 0.03571428571428571}","(16.24561403508772, 27.625730994152047)","(0.39623448866067607, 0.5022860180754918)","(20.011969494887317, 80.23207140658664)","(0.006381367823624783, 0.04548303367720331)"
194,"{'top_left': 38, 'top_right': 82, 'bottom_left': 21, 'bottom_right': 53}","{'top_left': 0.07916666666666666, 'top_right': 0.17083333333333334, 'bottom_left': 0.04375, 'bottom_right': 0.11041666666666666}","(16.29381443298969, 31.216494845360824)","(0.5431271477663231, 0.4877577319587629)","(157.4995217345095, 17.69202359443086)","(0.037277993309943074, 0.018410014146129926)"
192,"{'top_left': 29, 'top_right': 34, 'bottom_left': 55, 'bottom_right': 74}","{'top_left': 0.06904761904761905, 'top_right': 0.08095238095238096, 'bottom_left': 0.13095238095238096, 'bottom_right': 0.1761904761904762}","(15.453125, 32.6875)","(0.5151041666666667, 0.5943181818181819)","(72.94401041666667, 25.872802734375)","(0.02326020740327381, 0.026922791607049947)"
338,"{'top_left': 51, 'top_right': 43, 'bottom_left': 119, 'bottom_right': 125}","{'top_left': 0.11724137931034483, 'top_right': 0.09885057471264368, 'bottom_left': 0.2735632183908046, 'bottom_right': 0.28735632183908044}","(13.659763313609467, 37.47337278106509)","(0.45532544378698225, 0.6460926341562946)","(153.9356815237562, 60.295481600784285)","(0.04422168386203855, 0.06274243662932807)"
89,"{'top_left': 40, 'top_right': 48, 'bottom_left': 0, 'bottom_right': 1}","{'top_left': 0.09523809523809523, 'top_right': 0.11428571428571428, 'bottom_left': 0.0, 'bottom_right': 0.002380952380952381}","(15.089887640449438, 20.910112359550563)","(0.502996254681648, 0.3801838610827375)","(3.048099987375332, 31.25034717838657)","(0.0009719706592395829, 0.03251857146554273)"
98,"{'top_left': 40, 'top_right': 49, 'bottom_left': 0, 'bottom_right': 9}","{'top_left': 0.08602150537634409, 'top_right': 0.1053763440860215, 'bottom_left': 0.0, 'bottom_right': 0.01935483870967742}","(15.081632653061224, 23.20408163265306)","(0.5027210884353741, 0.3803947808631649)","(63.34610578925448, 28.381091211995003)","(0.016479215866091176, 0.029532873269505724)"
100,"{'top_left': 13, 'top_right': 26, 'bottom_left': 11, 'bottom_right': 50}","{'top_left': 0.027083333333333334, 'top_right': 0.05416666666666667, 'bottom_left': 0.022916666666666665, 'bottom_right': 0.10416666666666667}","(15.06, 36.46)","(0.502, 0.5696875)","(137.8884, 0.5364)","(0.03263630769230769, 0.000558168574401665)"
